lot_0,acid_1,acid_mn_2,acid_mp_3,acid_pdi_4,acid_ls_5,scale_6,eda_7,edc_8,nhs_9,time_10,solvent_11,temp_12,amine_mn_13,amine_mp_14,amine_pdi_15,LS_16,fgi_LS_17,dMn_18,dLS_19,time_dummy_20,scale_dummy_21,yield_SK3,yield_UCHT1,yield_53_67,MFI_SK3,SK3_agg,MFI_UCHT1,UCHT1_agg,MFI_53_67,53_67_agg
,1519,56,98,1.79,128,50,2000,200,200,1,ACN,20,58,100,1.78,88,,2,40,0,0,,50,42,,,,,,
,1519,56,98,1.79,128,50,2000,300,200,1,ACN,20,59,105,1.77,117,,3,11,0,0,,49,38,,,,,,
,1232,58,109,1.9,220,50,1700,250,200,1,ACN,20,63,114,1.82,146,,5,74,0,0,,38,34,,,161,,128,
,1232,58,109,1.9,220,50,1700,300,200,1,ACN,20,63,114,1.83,169,,5,51,0,0,,,,,,,,,
,1232,58,109,1.9,220,50,1700,400,200,1,ACN,20,64,114,1.81,186,,6,34,0,0,,,,,,,,,
,1232,58,109,1.9,220,50,1700,500,200,1,ACN,20,63,113,1.81,194,,5,26,0,0,,,,,,,,,
,1232,58,109,1.9,220,50,1700,100,200,1,ACN,20,58,109,1.89,59,,0,161,0,0,,20,16,,,156,med,,low
,1232,58,109,1.9,220,50,1700,100,100,1,ACN,20,59,107,1.87,86,,1,134,0,0,,44,32,,,139,low,,low
,1232,58,109,1.9,220,50,1700,300,100,1,ACN,10,61,113,1.88,142,,3,78,0,0,,30,40,,,178,low,,low
,1232,58,109,1.9,220,50,1700,300,200,1,ACN,10,59,107,1.91,90,,1,130,0,0,,40,39,,,170,med,97,low
,1232,58,109,1.9,220,50,1700,200,200,1,ACN,20,60,109,1.88,111,,2,109,0,0,,42,37,,,154,med,96,low
,1303,58,93,1.75,151,50,1700,250,200,1,ACN,20,63,95,1.73,125,,5,26,0,0,,42,35,,,150,high,126,low
,1303,58,93,1.75,151,50,1700,300,200,1,ACN,20,63,95,1.72,134,,5,17,0,0,,39,41,,,145,high,126,low
,1303,58,93,1.75,151,50,1700,400,200,1,ACN,20,63,95,1.72,154,,5,-3,0,0,,,,,,,,,
,1303,58,93,1.75,151,50,1700,150,200,1,ACN,20,60,92,1.7,77,,2,74,0,0,,35,30,,,162,low,64,low
,1303,58,93,1.75,151,50,1700,150,150,1,ACN,20,61,93,1.7,93,,3,58,0,0,,62,50,,,146,low,81,low
,1303,58,93,1.75,151,50,1700,500,200,1,ACN,10,62,93,1.69,125,,4,26,0,0,,63,54,,,130,low,59,low
,1471,60.8,92.7,1.72,126,50,2000,200,200,1,ACN,20,61,90,1.6,122,,0.2,4,0,0,,40,44,,,128,low,76,low
,1232,56,108,1.91,220,50,5000,500,200,1,ACN,20,66,117,2.08,194,,10,28,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,5000,500,50,1,ACN,20,65,115,1.82,219,,9,3,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,200,1,ACN,20,62,117,1.97,184,,6,38,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,50,1,ACN,20,69,122,1.98,173,,13,49,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,2750,500,125,1,ACN,12,67,121,1.9,178,,11,44,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,2750,500,125,1,ACN,12,64,113,1.83,189,,8,33,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,5000,500,200,1,ACN,4,62,112,1.86,119,,6,103,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,5000,500,50,1,ACN,4,63,112,1.85,173,,7,49,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,200,1,ACN,4,62,114,1.89,148,,6,74,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,500,500,50,1,ACN,4,64,112,1.84,104,,8,118,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,4500,900,200,1,ACN,4,62,110,1.8,169,,6,53,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,4000,800,200,1,ACN,4,62,111,1.82,163,,6,59,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,3500,700,200,1,ACN,4,62,110,1.82,144,,6,78,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,3000,600,200,1,ACN,4,62,110,1.82,125,,6,97,0,0,,,,,,,,,
,1232,56,108,1.91,220,50,4500,900,200,24,ACN,4,62,111,1.81,157,,6,65,1,0,,,,,,,,,
